"order","contestant","song","result"
"1","R. J. Helton","""I'll Be There""  (The Jackson 5)","Wild Card"
"2","Kristin Holt","""Fallin'""  (Alicia Keys)","Eliminated"
"3","Mark Scott","""My Girl""  (The Temptations)","Eliminated"
"4","Nikki McKibbin","""Total Eclipse of the Heart""  (Bonnie Tyler)","Advanced (2nd)"
"5","Chris Badano","""I Swear"" (John Michael Montgomery)","Eliminated"
"6","Melanie Sanders","""And I Am Telling You I'm Not Going""  (Jennifer Holliday)","Eliminated"
"7","EJay Day","""I'll Be"" (Edwin McCain)","Advanced (3rd)"
"8","Tanesha Ross","""Until You Come Back to Me (That's What I'm Gonna Do)""  (Aretha Franklin)","Eliminated"
"9","Khaleef Chiles","""My Cherie Amour""  (Stevie Wonder)","Eliminated"
"10","Christina Christian","""At Last""  (Etta James)","Advanced (1st)"
