"order","contestant","song","song","result"
"1","Corey Clark","""Against All Odds (Take a Look at Me Now)""  (Phil Collins)","Against All Odds","Bottom Two"
"2","Ruben Studdard","""A Whole New World""  (Brad Kane & Lea Salonga)","Aladdin","Safe"
"3","Trenyce","""I Have Nothing""  (Whitney Houston)","The Bodyguard","Safe"
"4","Clay Aiken","""Somewhere Out There""  (Linda Ronstadt & James Ingram)","An American Tail","Safe"
"5","Kimberly Caldwell","""The Shoop Shoop Song (It's in His Kiss)""  (Betty Everett)","Mermaids","Safe"
"6","Joshua Gracin","""I Don't Want to Miss a Thing""  (Aerosmith)","Armageddon","Safe"
"7","Carmen Rasmusen","""Hopelessly Devoted to You""  (Olivia Newton-John)","Grease","Safe"
"8","Charles Grigsby","""You Can't Win""  (Michael Jackson)","The Wiz","Eliminated"
"9","Rickey Smith","""It Might Be You""  (Stephen Bishop)","Tootsie","Safe"
"10","Julia DeMato","""Flashdance... What a Feeling""  (Irene Cara)","Flashdance","Bottom Three"
"11","Kimberley Locke","""Home""  (Diana Ross)","The Wiz","Safe"
