"order","contestant","song","result"
"1","Joshua Gracin","""Ain't Goin' Down ('Til The Sun Comes Up)"" (Garth Brooks)","Safe"
"2","Trenyce","""I Need You"" (LeAnn Rimes)","Safe"
"3","Kimberley Locke","""I Can't Make You Love Me"" (Bonnie Raitt)","Safe"
"4","Corey Clark","""Drift Away"" (John Henry Kurtz)","Disqualified"
"5","Carmen Rasmusen","""Wild Angels"" (Martina McBride)","Safe"
"6","Rickey Smith","""I've Done Enough Dyin' Today"" (Larry Gatlin)","Bottom Three"
"7","Kimberly Caldwell","""Anymore"" (Travis Tritt)","Bottom Two"
"8","Ruben Studdard","""Sweet Home Alabama"" (Lynyrd Skynyrd)","Safe"
"9","Julia DeMato","""Breathe"" (Faith Hill)","Eliminated"
"10","Clay Aiken","""Someone Else's Star"" (Bryan White)","Safe"
