"order","contestant","song","result"
"1","Mario Vazquez","""I Love Music"" (The O'Jays)","Safe"
"2","Anwar Robinson","""What's Going On"" (Marvin Gaye)","Safe"
"3","Joseph Murena","""Let's Stay Together"" (Al Green)","Eliminated"
"4","David Brown","""All in Love Is Fair"" (Stevie Wonder)","Eliminated"
"5","Constantine Maroulis","""Hard to Handle"" (Otis Redding)","Safe"
"6","Scott Savol","""Never Too Much"" (Luther Vandross)","Safe"
"7","Travis Tucker","""All Night Long (All Night)"" (Lionel Richie)","Safe"
"8","Nikko Smith","""Let's Get It On"" (Marvin Gaye)","Safe"
"9","Anthony Fedorov","""I Want to Know What Love Is"" (Foreigner)","Safe"
"10","Bo Bice","""Whipping Post"" (The Allman Brothers Band)","Safe"
