"order","contestant","song","result"
"1","Bo Bice","""Remedy"" (The Black Crowes)","Safe"
"2","Jessica Sierra","""On the Side of Angels"" (LeAnn Rimes)","Eliminated"
"3","Anwar Robinson","""I Believe I Can Fly"" (R. Kelly)","Bottom 2"
"4","Nadia Turner","""I'm the Only One"" (Melissa Etheridge)","Bottom 3"
"5","Constantine Maroulis","""I Can't Make You Love Me"" (Bonnie Raitt)","Safe"
"6","Nikko Smith","""Can We Talk"" (Tevin Campbell)","Safe"
"7","Anthony Fedorov","""Something About the Way You Look Tonight"" (Elton John)","Safe"
"8","Carrie Underwood","""Independence Day"" (Martina McBride)","Safe"
"9","Scott Savol","""One Last Cry"" (Brian McKnight)","Safe"
"10","Vonzell Solomon","""I Have Nothing"" (Whitney Houston)","Safe"
