"order","contestant","song","result"
"1","Anthony Fedorov","""I Knew You Were Waiting (For Me)"" (Aretha Franklin and George Michael)","Bottom 3"
"2","Carrie Underwood","""Alone"" (Heart)","Safe"
"3","Scott Savol","""Against All Odds (Take a Look at Me Now)"" (Phil Collins)","Safe"
"4","Bo Bice","""Time in a Bottle"" (Jim Croce)","Safe"
"5","Nikko Smith","""Incomplete"" (Sisqó)","Safe"
"6","Vonzell Solomon","""Best of My Love"" (The Emotions)","Safe"
"7","Constantine Maroulis","""I Think I Love You"" (The Partridge Family)","Safe"
"8","Nadia Turner","""Time After Time"" (Cyndi Lauper)","Bottom 2"
"9","Mikalah Gordon","""Love Will Lead You Back"" (Taylor Dayne)","Eliminated"
"10","Anwar Robinson","""Ain't Nobody""1(Chaka Khan)","Safe"
"11","Jessica Sierra","""Total Eclipse of the Heart"" (Bonnie Tyler)","Safe"
