"order","contestant","song","result"
"1","Mandisa","""Never""(Heart)","Safe"
"2","Kellie Pickler","""How Far""(Martina McBride)","Safe"
"3","Becky O'Donohue","""Because the Night""(Patti Smith)","Eliminated"
"4","Ayla Brown","""Reflection""(Christina Aguilera)","Safe"
"5","Paris Bennett","""Midnight Train to Georgia""(Cissy Houston)","Safe"
"6","Stevie Scott","""To Where You Are""(Josh Groban)","Eliminated"
"7","Brenna Gethers","""You Are the Sunshine of My Life""(Stevie Wonder)","Safe"
"8","Heather Cox","""When You Tell Me That You Love Me""(Diana Ross)","Safe"
"9","Melissa McGhee","""When the Lights Go Down""(Faith Hill)","Safe"
"10","Lisa Tucker","""I Am Changing""(Jennifer Holliday)","Safe"
"11","Kinnik Sky","""Get Here"" (Oleta Adams)","Safe"
"12","Katharine McPhee","""Since I Fell for You"" (Ella Johnson)","Safe"
