"order","contestant","song","result"
"1","Paris Bennett","""Conga""(Gloria Estefan and Miami Sound Machine)","Advanced"
"2","Lisa Tucker","""Here's Where I Stand""(Tiffany Taylor)","Advanced"
"3","Melissa McGhee","""What About Love""(Heart)","Advanced"
"4","Kinnik Sky","""If I Ain't Got You""(Alicia Keys)","Eliminated"
"5","Katharine McPhee","""Think""(Aretha Franklin)","Advanced"
"6","Ayla Brown","""Unwritten""(Natasha Bedingfield)","Eliminated"
"7","Mandisa","""I'm Every Woman""(Chaka Khan)","Advanced"
"8","Kellie Pickler","""I'm the Only One""(Melissa Etheridge)","Advanced"
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
