"contestant_2","song_2","result_2"
"Gedeon McKinney","""When a Man Loves a Woman""(Percy Sledge)","Eliminated"
"Chris Daughtry","""Broken""(Seether featuring Amy Lee)","Advanced"
"Kevin Covais","""Vincent""(Don McLean)","Advanced"
"Bucky Covington","""Wave on Wave""(Pat Green)","Advanced"
"Will Makar","""How Sweet It Is (To Be Loved By You)""(Marvin Gaye)","Eliminated"
"Taylor Hicks","""Takin' It to the Streets""(The Doobie Brothers)","Advanced"
"Elliott Yamin","""Heaven""(Bryan Adams)","Advanced"
"Ace Young","""Butterflies""(Michael Jackson)","Advanced"
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
