"order","contestant","song","result"
"1","Stephanie Edwards","""How Come U Don't Call Me Anymore?"" (Alicia Keys)","Safe"
"2","Amy Krebs","""I Can't Make You Love Me"" (Bonnie Raitt)","Eliminated"
"3","Leslie Hunt","""(You Make Me Feel Like) A Natural Woman"" (Aretha Franklin)","Safe"
"4","Sabrina Sloan","""I Never Loved a Man (The Way I Love You)"" (Aretha Franklin)","Safe"
"5","Antonella Barba","""I Don't Want to Miss a Thing"" (Aerosmith)","Safe"
"6","Jordin Sparks","""Give Me One Reason"" (Tracy Chapman)","Safe"
"7","Nicole Tranquillo","""Stay"" (Chaka Khan)","Eliminated"
"8","Haley Scarnato","""It's All Coming Back to Me Now"" (Pandora's Box)","Safe"
"9","Melinda Doolittle","""(Sweet Sweet Baby) Since You've Been Gone"" (Aretha Franklin)","Safe"
"10","Alaina Alexander","""Brass in Pocket"" (The Pretenders)","Safe"
"11","Gina Glocksen","""All by Myself"" (Eric Carmen)","Safe"
"12","Lakisha Jones","""And I Am Telling You I'm Not Going"" (Jennifer Holliday)","Safe"
