contestant,song,result
Blake Lewis,"""All Mixed Up"" (311)",Advanced
Sanjaya Malakar,"""Waiting on the World to Change"" (John Mayer)",Advanced
Sundance Head,"""Jeremy"" (Pearl Jam)",Eliminated
Jared Cotter,"""If You Really Love Me"" (Stevie Wonder)",Eliminated
Chris Richardson,"""Tonight I Wanna Cry"" (Keith Urban)",Advanced
Brandon Rogers,"""I Just Want to Celebrate"" (Rare Earth)",Advanced
Phil Stacey,"""I Need You"" (LeAnn Rimes)",Advanced
Chris Sligh,"""Wanna Be Loved"" (dc Talk)",Advanced
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
