"contestant_2","song_original_artist_2","result_2"
"Kristy Lee Cook","""Rescue Me"" (Fontella Bass)","Safe"
"Joanne Borgella","""I Say a Little Prayer""  (Dionne Warwick)","Eliminated"
"Alaina Whitaker","""More Today Than Yesterday""   (The Spiral Starecase)","Safe"
"Amanda Overmyer","""Baby, Please Don't Go"" (Big Joe Williams)","Safe"
"Amy Davis","""Where the Boys Are""  (Connie Francis)","Eliminated"
"Brooke White","""Happy Together""   (The Turtles)","Safe"
"Alexandréa Lushington","""Spinning Wheel"" (Blood, Sweat & Tears)","Safe"
"Kady Malloy","""A Groovy Kind of Love"" (The Mindbenders)","Safe"
"Asia'h Epperson","""Piece of My Heart"" (Erma Franklin)","Safe"
"Ramiele Malubay","""You Don't Have to Say You Love Me"" (Dusty Springfield)","Safe"
"Syesha Mercado","""Tobacco Road"" (John D. Loudermilk)","Safe"
"Carly Smithson","""The Shadow of Your Smile"" (Tony Bennett)","Safe"
