"order","contestant","song","result"
"1","Jasmine Murray","""Love Song""","Wild Card"
"2","Matt Giraud","""Viva la Vida""","Wild Card"
"3","Jeanine Vailes","""This Love""","Eliminated"
"4","Nick Mitchell","""And I Am Telling You I'm Not Going""","Eliminated"
"5","Allison Iraheta","""Alone""","Advanced"
"6","Kris Allen","""Man in the Mirror""","Advanced"
"7","Megan Joy","""Put Your Records On""","Wild Card"
"8","Matt Breitzke","""If You Could Only See""","Eliminated"
"9","Jesse Langseth","""Bette Davis Eyes""","Wild Card"
"10","Kai Kalama","""What Becomes of the Brokenhearted""","Eliminated"
"11","Mishavonna Henson","""Drops of Jupiter (Tell Me)""","Eliminated"
"12","Adam Lambert","""(I Can't Get No) Satisfaction""","Advanced"
