"order","contestant","song","result"
"1","Von Smith","""You're All I Need to Get By""","Wild Card"
"2","Taylor Vaifanua","""If I Ain't Got You""","Eliminated"
"3","Alex Wagner-Trugman","""I Guess That's Why They Call It the Blues""","Eliminated"
"4","Arianna Afsar","""The Winner Takes It All""","Eliminated"
"5","Ju'Not Joyner","""Hey There Delilah""","Eliminated"
"6","Kristen McNamara","""Give Me One Reason""","Eliminated"
"7","Nathaniel Marshall","""I'd Do Anything for Love (But I Won't Do That)""","Eliminated"
"8","Felicia Barton[b]","""No One""","Eliminated"
"9","Scott MacIntyre","""Mandolin Rain""","Advanced"
"10","Kendall Beard","""This One's for the Girls""","Eliminated"
"11","Jorge Núñez","""Don't Let the Sun Go Down on Me""","Advanced"
"12","Lil Rounds","""Be Without You""","Advanced"
