contestant,song,result
Ta-Tynisa Wilson,"""Only Girl (In the World)""",Eliminated
Naima Adedapo,"""Summertime""",Wild Card
Kendra Chantelle,"""Impossible""",Wild Card
Rachel Zevita,"""Criminal""",Eliminated
Karen Rodriguez,"""Hero""",Advanced
Lauren Turner,"""Seven Day Fool""",Eliminated
Ashthon Jones,"""Love All Over Me""",Wild Card
Julie Zorrilla,"""Breakaway""",Eliminated
Haley Reinhart,"""Fallin'""",Advanced
Thia Megia,"""Out Here on My Own""",Advanced
Lauren Alaina,"""Turn On the Radio""",Advanced
Pia Toscano,"""I'll Stand by You""",Advanced
NA,NA,NA
