"order","contestant","song","personal_idol","result"
"1","Lauren Alaina","""Any Man of Mine""","Shania Twain","Safe"
"2","Casey Abrams","""With a Little Help from My Friends""","Joe Cocker","Safe"
"3","Ashthon Jones","""When You Tell Me That You Love Me""","Diana Ross","Eliminated"
"4","Paul McDonald","""Come Pick Me Up""","Ryan Adams","Safe"
"5","Pia Toscano","""All by Myself""","Celine Dion","Safe"
"6","James Durbin","""Maybe I'm Amazed""","Paul McCartney","Safe"
"7","Haley Reinhart","""Blue""","LeAnn Rimes","Bottom three"
"8","Jacob Lusk","""I Believe I Can Fly""","R. Kelly","Safe"
"9","Thia Megia","""Smile""","Michael Jackson","Safe"
"10","Stefano Langone","""Lately""","Stevie Wonder","Safe"
"11","Karen Rodriguez","""I Could Fall in Love""","Selena","Bottom three"
"12","Scotty McCreery","""The River""","Garth Brooks","Safe"
"13","Naima Adedapo","""Umbrella""","Rihanna","Safe"
