"order","contestant","song","song_theme","result"
"1","Skylar Laine","""Didn't You Know How Much I Loved You""","X2010s.song","Safe"
"10","Elise Testone","""You and I""","X2010s.song","Bottom three"
"2","Colton Dixon","""Love the Way You Lie""","X2010s.song","Safe"
"3","Phillip Phillips","""Somebody That I Used to Know""","Duet.song","Safe"
"3","Elise Testone","""Somebody That I Used to Know""","Duet.song","Bottom three"
"4","Jessica Sanchez","""Stuttering""","X2010s.song","Judge's Save"
"5","Joshua Ledet","""Runaway Baby""","X2010s.song","Bottom three"
"6","Skylar Laine","""Don't You Wanna Stay""","Duet.song","Safe"
"6","Colton Dixon","""Don't You Wanna Stay""","Duet.song","Safe"
"7","Hollie Cavanagh","""Fuckin' Perfect""","X2010s.song","Safe"
"8","Phillip Phillips","""Give a Little More""","X2010s.song","Safe"
"9","Jessica Sanchez","""Stronger (What Doesn't Kill You)""","Duet.song","Judge's Save"
"9","Joshua Ledet","""Stronger (What Doesn't Kill You)""","Duet.song","Bottom three"
"9","Hollie Cavanagh","""Stronger (What Doesn't Kill You)""","Duet.song","Safe"
