"order","contestant","song","year","result"
"1","Phillip Phillips","""Hard to Handle""","1990","Safe"
"2","Jessica Sanchez","""Turn the Beat Around""","1995","Safe"
"3","Heejun Han","""Right Here Waiting""","1989","Safe"
"4","Elise Testone","""Let's Stay Together""","1983","Bottom three"
"5","DeAndre Brackensick","""Endless Love""","1994","Safe"
"6","Shannon Magrane","""One Sweet Day""","1995","Eliminated"
"7","Colton Dixon","""Broken Heart""","1991","Safe"
"8","Erika Van Pelt","""Heaven""","1985","Bottom three"
"9","Skylar Laine","""Love Sneakin' Up On You""","1994","Safe"
"10","Joshua Ledet","""When a Man Loves a Woman""","1992","Safe"
"11","Hollie Cavanagh","""The Power of Love""","1993","Safe"
