"contestant_2","song_2","result_2"
"Mathenee Treco","""A Little Less Conversation""","Eliminated"
"Gurpreet Singh Sarin","""Nothing Ever Hurt Like You""","Eliminated"
"Vincent Powell","""Cause I Love You""","Advanced"
"Nick Boddington","""Say Something Now""","Advanced"
"Josh Holiday","""I'm Better with You""","Eliminated"
"David Oliver Willis","""Fever""","Eliminated"
"Bryant Tadeo","""New York State of Mind""","Eliminated"
"Burnell Taylor","""This Time""","Advanced"
"Lazaro Arbos","""Tonight I Wanna Cry""","Advanced"
"Cortez Shaw","""Titanium""","Advanced"
