"order","contestant","song","result"
"1","Zoanette Johnson","""What's Love Got to Do with It""","Eliminated"
"2","Breanna Steer","""Flaws and All""","Eliminated"
"3","Aubrey Cleland","""Big Girls Don't Cry""","Eliminated (6th)"
"4","Janelle Arthur","""If I Can Dream""","Advanced"
"5","Tenna Torres","""Lost""","Eliminated"
"6","Angie Miller","""Never Gone""","Advanced"
"7","Amber Holcomb","""I Believe in You and Me""","Advanced"
"8","Kree Harrison'","""Stronger""","Advanced"
"9","Adriana Latonio","""Stand Up for Love""","Eliminated"
"10","Candice Glover","""Ordinary People""","Advanced"
NA,NA,NA,NA
