"contestant_2","song_2","result_2"
"Elijah Liu","""Stay""","Eliminated"
"Cortez Shaw","""Locked Out of Heaven""","Eliminated"
"Charlie Askew","""Mama""","Eliminated (6th)"
"Nick Boddington","""Iris""","Eliminated"
"Burnell Taylor","""I'm Here""","Advanced"
"Paul Jolley","""Just a Fool""","Advanced"
"Lazaro Arbos","""Feeling Good""","Advanced"
"Curtis Finch, Jr.","""I Believe I Can Fly""","Advanced"
"Devin Velez","""Somos Novios (It's Impossible)""","Advanced"
"Vincent Powell","""End of the Road""","Eliminated"
NA,NA,NA
