"order","contestant","song","result","result"
"1","Curtis Finch, Jr.","""I Believe""","Fantasia Barrino","Eliminated"
"2","Janelle Arthur","""Gone""","Scotty McCreery","6th"
"3","Devin Velez","""Temporary Home""","Carrie Underwood","9th"
"4","Angie Miller","""I Surrender""","Kelly Clarkson","Top three"
"5","Paul Jolley","""Amazed""","Scotty McCreery","8th"
"6","Candice Glover","""I (Who Have Nothing)""","Jordin Sparks","Top three"
"7","Lazaro Arbos","""Breakaway""","Kelly Clarkson","4th"
"8","Kree Harrison","""Crying""","Carrie Underwood","Top three"
"9","Burnell Taylor","""Flying Without Wings""","Ruben Studdard","7th"
"10","Amber Holcomb","""A Moment Like This""","Kelly Clarkson","5th"
