"order","contestant","song","song","result"
"1","Sam Woolf","""Come Together""","Across the Universe","Bottom three"
"2","Jessica Meuse","""The Sound of Silence""","The Graduate","Safe"
"3","C.J. Harris","""Can't You See""","Blow","Safe"
"4","Dexter Roberts","""Sweet Home Alabama""","Forrest Gump","Safe"
"5","Ben Briley","""Bennie and the Jets""","27 Dresses","Eliminated"
"6","Majesty Rose","""Let It Go""","Frozen","Bottom three"
"7","Caleb Johnson","""Skyfall""","Skyfall","Safe"
"8","MK Nobilette","""Make You Feel My Love""","Hope Floats","Safe"
"9","Alex Preston","""Falling Slowly""","Once","Safe"
"10","Jena Irene","""Decode""","Twilight","Safe"
"11","Malaya Watson","""I Am Changing""","Dreamgirls","Safe"
