"order","contestant","song","result"
"1","MK Nobilette","""Fuckin' Perfect""","Eliminated"
"2","Dexter Roberts","""Cruise""","Bottom three"
"3","Jena Irene","""Clarity""","Safe"
"4","Alex Preston","""Story of My Life""","Safe"
"5","Malaya Watson","""When I Was Your Man""","Safe"
"6","Caleb Johnson","""The Edge of Glory""","Safe"
"7","C.J. Harris","""Invisible""","Safe"
"8","Jessica Meuse","""Pumped Up Kicks""","Safe"
"9","Majesty Rose","""Wake Me Up""","Bottom three"
"10","Sam Woolf","""We Are Young""","Safe"
