"order","contestant","song","song_theme","result"
"1","Jessica Meuse","""Blue-Eyed Lie""","Audition.Song","Safe"
"10","C.J. Harris","""Alright""","Duet.song","Bottom three"
"10","Dexter Roberts","""Alright""","Duet.song","Safe"
"11","Caleb Johnson","""Chain of Fools""","Audition.Song","Safe"
"12","Alex Preston","""Fairytales""","Audition.Song","Safe"
"2","C.J. Harris","""Soulshine""","Audition.Song","Bottom three"
"3","Jena Irene","""Just Give Me a Reason""","Duet.song","Safe"
"3","Alex Preston","""Just Give Me a Reason""","Duet.song","Safe"
"4","Sam Woolf","""Lego House""","Audition.Song","Judges' save"
"5","Jessica Meuse","""Stop Draggin' My Heart Around""","Duet.song","Safe"
"5","Caleb Johnson","""Stop Draggin' My Heart Around""","Duet.song","Safe"
"6","Malaya Watson","""Ain't No Way""","Audition.Song","Bottom three"
"7","Dexter Roberts","""One Mississippi""","Audition.Song","Safe"
"8","Sam Woolf","""Lucky""","Duet.song","Judges' save"
"8","Malaya Watson","""Lucky""","Duet.song","Bottom three"
"9","Jena Irene","""Rolling in the Deep""","Audition.Song","Safe"
