"order","contestant","song","song_theme","result"
"1","Jax","""Are You Gonna Be My Girl""","Song.1","Safe"
"10","Rayvon Owen","""Go Your Own Way""","Song.2","Bottom two"
"2","Nick Fradiani","""Harder to Breathe""","Song.1","Safe"
"3","Clark Beckham","""Yesterday""","Song.1","Safe"
"4","Tyanna Jones","""Party in the U.S.A.""","Song.1","Eliminated"
"5","Rayvon Owen","""I'm Not the Only One""","Song.1","Bottom two"
"6","Nick Fradiani","""Maggie May""","Song.2","Safe"
"7","Tyanna Jones","""Heaven""","Song.2","Eliminated"
"8","Clark Beckham","""Boyfriend""","Song.2","Safe"
"9","Jax","""White Flag""","Song.2","Safe"
