"contestant","duet_partner","result","order","song_theme","song"
"Shelbie Z","Constantine Maroulis","Eliminated","1","song","""Work Hard, Play Harder"""
"Shelbie Z","Constantine Maroulis","Eliminated","24","song_2","""Bohemian Rhapsody"""
"Manny Torres","Jordin Sparks","Wild Card","2","song","""Adventure of a Lifetime"""
"Manny Torres","Jordin Sparks","Wild Card","17","song_2","""No Air"""
"Kory Wheeler","Haley Reinhart","Eliminated","3","song","""Let It Go"""
"Kory Wheeler","Haley Reinhart","Eliminated","14","song_2","""Bennie and the Jets"""
"Amelia Eisenhauer","Kellie Pickler","Eliminated","4","song","""Wake Me Up"""
"Amelia Eisenhauer","Kellie Pickler","Eliminated","13","song_2","""Suds in the Bucket"""
"Jenn Blosil","Constantine Maroulis","Wild Card","5","song","""Sorry"""
"Jenn Blosil","Constantine Maroulis","Wild Card","18","song_2","""My Funny Valentine"""
"C.J. Johnson","David Cook","Eliminated","6","song","""I'll Be"""
"C.J. Johnson","David Cook","Eliminated","16","song_2","""The World I Know"""
"Lee Jean","Chris Daughtry","Wild Card","7","song","""Runaway"""
"Lee Jean","Chris Daughtry","Wild Card","15","song_2","""Home"""
"Trent Harmon","Jordin Sparks","Advanced","8","song","""What Are You Listening To"""
"Trent Harmon","Jordin Sparks","Advanced","23","song_2","""To Love Somebody"""
"Tristan McIntosh","Kellie Pickler","Wild Card","9","song","""Good Girl"""
"Tristan McIntosh","Kellie Pickler","Wild Card","19","song_2","""Best Days of Your Life"""
"Adam Lasher","Haley Reinhart","Eliminated","10","song","""Black and Gold"""
"Adam Lasher","Haley Reinhart","Eliminated","21","song_2","""Can't Help Falling in Love"""
"Dalton Rapattoni","Chris Daughtry","Advanced","11","song","""Rebel Yell"""
"Dalton Rapattoni","Chris Daughtry","Advanced","22","song_2","""Higher Ground"""
"Olivia Rox","David Cook","Advanced","12","song","""Confident"""
"Olivia Rox","David Cook","Advanced","20","song_2","""Light On"""
