"date_of_airing","order","contestant","song","duet_partner","result"
"Sunday, April 15","1","Amelia Hammer Harris","""Believer""","—","—"
"Sunday, April 15","2","Garrett Jacobs","""Treat You Better""","—","—"
"Sunday, April 15","3","Maddie Poppe","""Brand New Key""","—","—"
"Sunday, April 15","4","Ada Vox","""Feeling Good""","—","—"
"Sunday, April 15","5","Caleb Lee Hutchinson","""Die a Happy Man""","—","—"
"Sunday, April 15","6","Effie Passero","""Barracuda""","—","—"
"Sunday, April 15","7","Alyssa Raghu","""Stay""","—","—"
"Sunday, April 15","8","Marcio Donaldson","""Inseparable""","—","—"
"Sunday, April 15","9","Mara Justine","""Run to You""","—","—"
"Sunday, April 15","10","Jurnee","""Flashlight""","—","—"
"Sunday, April 15","11","Shannon O'Hara","""All I Ask""","—","—"
"Sunday, April 15","12","Ron Bultongez","""Dancing On My Own""","—","—"
"",NA,"","","",""
"Monday, April 16","1","Caleb Lee Hutchinson","""Meant to Be""","Bebe Rexha","Advanced"
"Monday, April 16","2","Ada Vox","""Defying Gravity""","Lea Michele","Advanced"
"Monday, April 16","3","Maddie Poppe","""Bubbly""","Colbie Caillat","Advanced"
"Monday, April 16","4","Ron Bultongez","""Someone to You""","Banners","Eliminated"
"Monday, April 16","5","Amelia Hammer Harris","""Me, Myself & I""","Bebe Rexha","Eliminated"
"Monday, April 16","6","Shannon O'Hara","""Burning House""","Cam","Eliminated"
"Monday, April 16","7","Alyssa Raghu","""Yellow""","Banners","Eliminated"
"Monday, April 16","8","Marcio Donaldson","""What's Going On""","Allen Stone","Advanced"
"Monday, April 16","9","Jurnee","""Run to You""","Lea Michele","Advanced"
"Monday, April 16","10","Garrett Jacobs","""Lucky""","Colbie Caillat","Advanced"
"Monday, April 16","11","Mara Justine","""Fight Song""","Rachel Platten","Advanced"
"Monday, April 16","12","Effie Passero","""Diane""","Cam","Eliminated"
