"order","contestant","song","song","result"
"1","Maddie Poppe","""The Bare Necessities""","The Jungle Book","Safe"
"2","Jurnee","""How Far I'll Go""","Moana","Safe"
"3","Cade Foehner","""Kiss the Girl""","The Little Mermaid","Safe"
"4","Ada Vox","""Circle of Life""","The Lion King","Eliminated"
"5","Michelle Sussett","""Remember Me""","Coco","Eliminated"
"6","Gabby Barrett","""Colors of the Wind""","Pocahontas","Safe"
"7","Michael J. Woodard","""Beauty and the Beast""","Beauty and the Beast","Safe"
"8","Caleb Lee Hutchinson","""You've Got a Friend in Me""","Toy Story","Safe"
"9","Catie Turner","""Once Upon a Dream""","Sleeping Beauty","Safe"
"10","Dennis Lorenzo","""Can You Feel the Love Tonight""","The Lion King","Eliminated"
