"order","contestant","song"
"1","Madison VanDenburg","""Domino"""
"2","Shawn Robinson","""Jealous"""
"3","Laine Hardy","""Bring It On Home to Me"""
"4","Uché","""Figures"""
"5","Eddie Island","""Ho Hey"""
"6","Evelyn Cormier","""Leaving on a Jet Plane"""
"7","Alyssa Raghu","""Ain't It Fun"""
"8","Ryan Hammond","""You Say"""
"9","Raquel Trinidad","""Lovefool"""
"10","Logan Johnson","""Love Don't Live Here Anymore"""
"11","Dimitrius Graham","""Hello"""
"12","Riley Thompson","""Jolene"""
"13","Walker Burroughs","""How Deep Is Your Love"""
"14","Bumbly","""Vision of Love"""
"15","Ashley Hess","""Dreaming with a Broken Heart"""
"16","Alejandro Aranda","""I Fall Apart"""
"17","Kate Barnette","""Sunday Morning"""
"18","Jeremiah Lloyd Harmon","""Make You Feel My Love"""
"19","Laci Kaye Booth","""I Want You to Want Me"""
"20","Wade Cota","""All I Want"""
