"contestant","order","song","result"
"Laine Hardy","1","""That's All Right""","Safe"
"Evelyn Cormier","2","""The Middle""","Not Chosen"
"Alyssa Raghu","3","""She Used to Be Mine""","Not Chosen"
"Eddie Island","4","""Bennie and the Jets""","Not Chosen"
"Riley Thompson","5","""Suds in the Bucket""","Not Chosen"
"Wade Cota","6","""Trouble""","Safe"
"Dimitrius Graham","7","""Perfect""","Not Chosen"
"LaRae Jones","8","""Fallin'""","Safe"
"Jeremiah Lloyd Harmon","9","""We All Fall in Love Sometimes""","Safe"
"Uché","10","""Finesse""","Not Chosen"
"Alejandro Aranda","11","""One Dance""","Safe"
"Ashley Hess","12","""Fix You""","Not Chosen"
"Laci Kaye Booth","13","""I Miss You""","Safe"
"Walker Burroughs","14","""Climb Ev'ry Mountain""","Safe"
