"contestant","order","song","song","result"
"Uché","1","""I 2 I""","A Goofy Movie","Eliminated"
"Laci Kaye Booth","2","""I See the Light""","Tangled","Safe"
"Alejandro Aranda","3","""Remember Me""","Coco","Safe"
"Alyssa Raghu","4","""Colors of the Wind""","Pocahontas","Safe"
"Wade Cota","5","""You've Got a Friend in Me""","Toy Story","Safe"
"Dimitrius Graham","6","""You'll Be in My Heart""","Tarzan","Eliminated"
"Walker Burroughs","7","""When She Loved Me""","Toy Story 2","Safe"
"Madison VanDenburg","8","""How Far I'll Go""","Moana","Safe"
"Laine Hardy","9","""Oo-De-Lally""","Robin Hood","Safe"
"Jeremiah Lloyd Harmon","10","""Candle on the Water""","Pete's Dragon","Safe"
