"contestant_21_1","order","song","age","hometown_22","audition_city","result"
"Nick Merico","1","""When I Was Your Man""","24","Woodland Hills, California","Los Angeles, California","Advanced"
"Makayla Brownlee","2","""More Hearts Than Mine""","17","Wellington, Kansas","Sunriver, Oregon","Advanced"
"Dewayne Crocker Jr.","3","""Old Town Road""","23","Pensacola, Florida","Sunriver, Oregon","Advanced"
"Camryn Leigh Smith","4","""Break Every Chain""","16","Acworth, Georgia","Savannah, Georgia","Eliminated"
"Devon Alexander","5","""Tell Me You Love Me""","23","Sonora, California","Los Angeles, California","Eliminated"
"Jordan Jones","6","""Redbone""","26","Scottsdale, Arizona","Los Angeles, California","Eliminated"
"Geena Fontanella","7","""Finesse""","27","Los Angeles, California","Los Angeles, California","Eliminated"
"Louis Knight","8","""Castle on the Hill""","19","Philadelphia, Pennsylvania","Washington D.C.","Advanced"
"Francisco Martin","9","""Falling""","19","San Francisco, California","Sunriver, Oregon","Advanced"
"Jovin Webb","10","""You Are the Best Thing""","29","Gonzales, Louisiana","Sunriver, Oregon","Advanced"
"Faith Becnel","11","""Ain't Nobody""","20","Destrehan, Louisiana","Sunriver, Oregon","Advanced"
"Amber Fiedler","12","""Good Kisser""","23","Coeur d'Alene, Idaho","Sunriver, Oregon","Eliminated"
"Just Sam","13","""Como la Flor""","21","Harlem, New York","Washington, D.C.","Advanced"
"Jonny West","14","""You Found Me""","23","Murrieta, California","Los Angeles, California","Advanced"
"Dillon James","15","""The Times They Are a-Changin'""","26","Bakersfield, California","Los Angeles, California","Advanced"
"Genavieve Linkowski","16","""You Say""","20","Goodrich, Michigan","Milwaukee, Wisconsin","Eliminated"
"Franklin Boone","17","""Daughters""","27","Durham, North Carolina","Milwaukee, Wisconsin","Advanced"
"Julia Gargano","18","""Glitter in the Air""","21","Staten Island, New York","Washington, D.C.","Advanced"
"Aliana Jester","19","""This is Me""","18","Tampa, Florida","Savannah, Georgia","Advanced"
"Sophia James","20","""Levels""","20","Long Beach, California","Los Angeles, California","Advanced"
"Robert Taylor","21","""Take Me to the Pilot""","27","Donaldsonville, Louisiana","Sunriver, Oregon","Eliminated"
"Kimmy Gabriela","22","""You Don't Do It for Me Anymore""","17","Lakeland, Florida","Savannah, Georgia","Advanced"
"Amelia Joyce","23","""Sorry Seems to Be the Hardest Word""","23","Phoenix, Arizona","Los Angeles, California","Eliminated"
"Elyjuh Rene","24","""Best Part""","24","Long Beach, California","Savannah, Georgia","Eliminated"
"Grace Lundy","25","""Bruises""","18","Lincoln, Nebraska","Milwaukee, Wisconsin","Eliminated"
"Shannon Gibbons","26","""Send My Love (To Your New Lover)""","20","Bellport, New York","Savannah, Georgia","Eliminated"
"Cyniah Elise","27","""Lady Marmalade""","17","Atlanta, Georgia","Savannah, Georgia","Advanced"
"Makayla Phillips","28","""Sorry Not Sorry""","17","Temecula, California","Los Angeles, California","Advanced"
"Lauren Spencer-Smith","29","""Respect""","16","Vancouver Island","Sunriver, Oregon","Advanced"
"Olivia Ximines","30","""Proud Mary""","16","Menifee, California","Los Angeles, California","Advanced"
"Arthur Gunn","31","""Is This Love""","21","Wichita, Kansas","Milwaukee, Wisconsin","Advanced"
"Demi Rae","32","""Lonely""","26","San Jose, California","Sunriver, Oregon","Eliminated"
"Grace Leer","33","""(You Make Me Feel Like) A Natural Woman""","27","Nashville, Tennessee","Milwaukee, Wisconsin","Advanced"
"Lauren Mascitti","34","""Two More Bottles of Wine""","27","Nashville, Tennessee","Savannah, Georgia","Eliminated"
"Travis Finlay","35","""That's What I Like""[23]","25","Miramar, Florida","Washington, D.C.","Eliminated"
"Natalie Jane","36","""Cool""","15","Woodcliff Lake, New Jersey","Washington, D.C.","Eliminated"
"Bilaal Avaz","37","""Don't You Worry 'Bout a Thing""","19","North Haven, Connecticut","Washington, D.C.","Eliminated"
"Jeb VonderBruegge","38","""Sex on Fire""","18","Long Beach, Mississippi","Savannah, Georgia","Eliminated"
"Perrin York","39","""Electric Feel""","22","Denver, Colorado","Los Angeles, California","Eliminated"
"Cameron Havens","40","""Whipping Post""","20","Haslet, Texas","Sunriver, Oregon","Eliminated"
