"order","song","result"
"1","""Leave Me Lonely""","Eliminated"
"2","""With a Little Help from My Friends""","Safe"
"3","""Everybody Wants to Rule the World""","Eliminated"
"4","""Bad Guy""","Eliminated"
"5","""If the World Was Ending""","Safe"
"6","""Greedy""","Wild Card"
"7","""Run to You""","Eliminated"
"8","""River""","Eliminated"
"9","""Hey There Delilah""","Eliminated"
"10","""Mamma Knows Best""","Eliminated"
"11","""Warrior""","Eliminated"
"12","""Teenage Dream""","Safe"
"13","""Burning""","Safe"
"14","""I Got You (I Feel Good)""","Eliminated"
"15","""Let It Be Me""","Safe"
"16","""Lovin' Machine""","Safe"
"17","""Human""","Safe"
"18","""Cry""","Safe"
"19","""I Believe""","Safe"
"20","""What a Wonderful World""","Safe"
