"audition_date","audition_city","audition_venue","season","episodes","episode_air_date","callback_venue","callback_audition_date","tickets_to_hollywood","guest_judge","filming_dates","filming_venue"
"April 20–22, 2002","Los Angeles, California","Westin Bonaventure Hotel",1,NA,"June 11, 2002",NA,NA,"31",NA,NA,NA
"April 23–25, 2002","Seattle, Washington","Hyatt Regency Hotel",1,NA,"June 11, 2002",NA,NA,"10",NA,NA,NA
"April 26–28, 2002","Chicago, Illinois","Congress Plaza Hotel",1,NA,"June 11, 2002",NA,NA,"23",NA,NA,NA
"April 29 – May 1, 2002","New York City, New York","Millenium Hilton Hotel",1,NA,"June 11, 2002",NA,NA,"25",NA,NA,NA
"May 11, 2002","Miami, Florida","Fontainebleau Hilton",1,NA,"June 11, 2002",NA,NA,"6",NA,NA,NA
"May 3–5, 2002","Atlanta, Georgia","AmericasMart/Callanwolde Fine Arts Center",1,NA,"June 11, 2002",NA,NA,"15",NA,NA,NA
"May 5–7, 2002","Dallas, Texas","Wyndham Anatole Hotel",1,NA,"June 11, 2002",NA,NA,"11",NA,NA,NA
"August 11, 2010","Austin, Texas","Frank Erwin Center",10,NA,"February 2, 2011","Barton Creek Resort & Spa","October 8–9, 2010","50",NA,NA,NA
"August 19, 2010","San Francisco, California","AT&T Park",10,NA,"February 9, 2011","Westin St. Francis","November 9–10, 2010","471",NA,NA,NA
"August 3, 2010","East Rutherford, New Jersey","Izod Center",10,NA,"January 19, 2011","Liberty House Restaurant","September 28–30, 2010","51",NA,NA,NA
"July 17, 2010","Nashville, Tennessee","Bridgestone Arena",10,NA,"January 27, 2011","Ryman Auditorium","October 25–26, 2010","561",NA,NA,NA
"July 21, 2010","Milwaukee, Wisconsin","Bradley Center",10,NA,"January 26, 2011","Milwaukee Art Museum","October 2–3, 2010","53",NA,NA,NA
"July 26, 2010","New Orleans, Louisiana","New Orleans Arena",10,NA,"January 20, 2011","Hilton Riverside Hotel","October 17–18, 2010","37",NA,NA,NA
"September 22, 2010","Los Angeles, California","The Forum",10,NA,"February 3, 2011","AT&T Center","November 3–4, 2010","301",NA,NA,NA
"August 26, 2011","Houston, Texas","Reliant Arena",11,NA,"January 26, 2012","Galveston Island Convention Center","August 30–31, 2011","55",NA,NA,NA
"July 15, 2011","Pittsburgh, Pennsylvania","Heinz Field",11,NA,"January 19, 2012","David L. Lawrence Convention Center","September 28–29, 2011","38",NA,NA,NA
"July 2, 2011","Portland, Oregon","Rose Garden",11,NA,"February 1, 2012","Red Lion Hotel","October 1–2, 2011","45",NA,NA,NA
"July 22, 2011","North Charleston, South Carolina","North Charleston Coliseum",11,NA,"January 18, 2012","Hyatt Regency, Savannah, Georgia","August 17–18, 2011","42",NA,NA,NA
"July 29, 2011","Denver, Colorado","Invesco Field",11,NA,"January 25, 2012","Doerr-Hosier Center, Aspen","October 5–6, 2011","31",NA,NA,NA
"July 8, 2011","San Diego, California","Petco Park",11,NA,"January 22, 2012","USS Midway Aircraft Carrier","October 9–10, 2011","53",NA,NA,NA
"June 28, 2011","St. Louis, Missouri","Scottrade Center",11,NA,"February 2, 2012","Hilton St. Louis at the Ballpark","September 2–3, 2011","46",NA,NA,NA
"September 22, 2011","East Rutherford, New Jersey","IZOD Center",11,NA,"— a","—","September 24–25, 2011","—",NA,NA,NA
"July 12, 2012","Chicago, Illinois","United Center",12,NA,"January 17, 2013","Adler Planetarium","September 25 & 26, 2012","47",NA,NA,NA
"July 17, 2012","New Orleans, Louisiana","New Orleans Arena",12,NA,"January 24, 2013","Baton Rouge River Center, (Baton Rouge, Louisiana)","October 5 & 6, 2012","35",NA,NA,NA
"July 20, 2012","Oklahoma City, Oklahoma","Chesapeake Energy Arena",12,NA,"January 31, 2013","Devon Boathouse","November 9 & 10, 2012","45",NA,NA,NA
"June 14, 2012","San Antonio, Texas","Alamodome",12,NA,"January 30, 2013","Sunset Station","November 11 & 12, 2012","31a",NA,NA,NA
"June 19, 2012","Charlotte, North Carolina","Time Warner Cable Arena",12,NA,"January 23, 2013","Charlotte Motor Speedway, (Concord, North Carolina)","October 2 & 3, 2012","37",NA,NA,NA
"June 23, 2012","Newark, New Jersey","Prudential Center",12,NA,"January 16, 2013","Jazz at Lincoln Center, (New York City, New York)","September 16 & 17, 2012","41",NA,NA,NA
"June 7, 2012","Los Angeles, California","Dodger Stadium",12,NA,"January 30, 2013","Queen Mary, (Long Beach, California)","November 14 & 15, 2012","50",NA,NA,NA
